Unnamed: 0,QID,Brand,Model,Question,Dialogue,Report
0,Q5001,福特,福克斯,长安福特福克斯，突然打不着车,技师 说 车主 根据 提供 这是 车辆 防盗 系统 起 作用 了 需要 从 新 匹配 车辆 的 所有 的 钥匙 车主 说 哦 技师 说 需要 联系 当地 店 或者 专业 做 汽车 钥匙 的 车主 说,根据提供图片，这是车辆防盗起作用了，需要从新匹配钥匙。
1,Q5002,路虎,揽胜运动版,路虎电动脚踏板无反应，请问是什么原因，如何解决？,技师 说 电机 接触不良 吧 车主 说 不是 是因为 车主 右边 踏板 底盘 被 刮 了 踏板 支架 被 挂断 了 现在 修复 了 但是 感觉 电机 在 响 电动 踏板 不 回位 请问 如何 复位 或者 匹配 脚踏板 技师 说 是不是 与 踏板 脱槽 了 车主 说 是 的 电机 之前 和 踏板 脱槽 了 现在 已经 修复 上 了 但是 踏板 不 正常 开关门 几次 后 现在 再 开关门 有 电机 声音 但是 不 复位 技师 说 踏板 变形 了 吗 车主 说 现在 如何 解决 需要 匹配 电机 车主 说 吗 车主 说 踏板 没 变形 技师 说 他 这个 有 专门 的 开关 吗 车主 说款 运动 揽胜 技师 说 你 按 开关 十秒 左右 看看 能 匹配 上 不 车主 说 开关 在 什么 位置 技师 说 它 开关 是 怎么 控制 的 车主 说 开门 和 关门 控制 的 车主 说 车主 说 这个 是 开关 控制 吗 技师 说 你 常 按 秒 以上 这个 开关 能 学习 上 不能 车主 说 这个 是 减震 放气 的 车主 说 我 按 了 就 放气 技师 说 你 按 遥控器 上 的 按键 试下 车主 说 车架号 是 车主 说 技师 说 你 找个 电脑 匹配 一下 试试 车主 说 没 反应 车主 说用 了 电脑 里面 关于 脚踏板 只有 维修 模式 启用 和 禁用 车主 说 都 试 了 没有 用 技师 说 那 你 找 当地 的 专业 维修 这款 车 的 人员 给 你 看看 车主 说 没有 复位 匹配 的 方法 吗 车主 说 我 自己 就是 学 修车 的 不 找 别人 咨询 可以 要 靠 自己 修 技师 说 没有 我修 这车 也 不 多,检查踏板与电机是否托槽
2,Q5003,大众,帕萨特,新帕萨特发动机大修后油轨压力高是怎么回事,技师 说 你 读取 一下 汽油 泵 高压 油压 技师 说 怠速巴 车主 说 怠速 车主 说 刚换 的 新 高压 油泵 现在 技师 说 汽油 压力 高 了 检查 高压 油泵 凸轮轴 以及 高压 压力 传感器 车主 说 油嘴 有没有 可能 堵 了 技师 说 大修 不 清洗 喷油嘴 车主 说 我 看 他 也 没 清洗 就 装上 了 技师 说 外面 的 修理厂 没事 设备 车主 说 外面 的 没 使 技师 说 没有 清洗 设备 车主 说 嗯 没 清洗 我 在 一边 看着 的 直接 装 的,大修后出现的问题，需要重点检查高压油泵以及凸轮轴。
3,Q5004,奥迪,奥迪A6L,2010年奥迪a6总是息火,技师 说 您 的 车辆 如果 熄火 之后 还 可以 启动 着 车 吗 技师 说 多少 公里 了 技师 说 可以 技师 说 我 买 的 二手车 现在 公里 七万 技师 说 低速 行驶 中 息火 一天 也 就 一次 技师 说 这样的话 您 这个 车 可能 是 由于 积炭 多 造成 的 最好 到 修理厂 检查 清洗 喷油嘴 和 节气门 并 匹配 节气门 还 需要 使用 解码器 调取 故障 码 读取数据 流看 一下 看 一下 有没有 发动机 方面 的 故障 针对 排除 技师 说 这个 公里 数 还 需要 更换 汽油 滤芯 更换 老化 的 火花塞 清洗 三元催化 进气道 如果 是 正时 皮带 的 还 需要 更换 正 时 皮带 这些 就是 大 保养 也 是 发动机 的 深度 养护 技师 说 都 换 新 的 了 技师 说 油泵 油嘴 火花塞 都 换 了 技师 说 检测 四缸 断 火换 完 以后 是 一二 缸 断火 技师 说 以前 是 发动机 颤抖 更换 完 喷油嘴 就 不抖 了 技师 说 请问 您 的 咨询服务 电话 是 多少 技师 说 技师 说 我 没 看到 电话 咨询 技师 说 技师 说 气缸 压力 正常 技师 说 没有 故障 码 技师 说 缸 压 多少 技师 说 燃烧室 积炭 检查 了 吗 技师 说 这个 我 不 清楚 店 检查 的 技师 说 哦 技师 说 没有 数据 不好 说 也许 缸 压 偏低 也 有 积炭 过多 引起 的 技师 说 如果 解码器 报 失火 的 故障 的话 和 经常 熄火 是 有 关系 的 技师 说 还 需要 使用 解码器 读取数据 流看 一下 这个 相关 的 原因 很多 的 技师 说 并 不是 解码器 调不出 故障 码来 就 没有 故障,您说的这个情况，这个公里数，一般原因是由于积炭太多或者某个传感器信号失准，线路虚接造成的，需要到修理厂检查清洗喷油嘴 节气门 并匹配节气门，更换老化的火花塞，检查清洗三元催化，检查清除燃烧室积炭，更换汽油滤芯儿，使用解码器读取故障码，数据流针对排除故障 修复相关线路，更换损坏部件
4,Q5005,福特,翼搏,曲轴锁止点不是一缸上止点。询问如果按装正时？工具锁不了上止点,技师 说 是 上止 点 技师 说 我 发图 你 看 我 昨天 装上 发 不了 火 技师 说 回复 下 技师 说 测量 缸 压有 吗 车主 说 上止 点错 了 我 按 自己 感觉 对 了 上止 点 发着 车 了 怕 点火 正时 不太准,重新安装正时
5,Q5006,大众,Passat领驭,更好机油散热器，问题依然没有解决,技师 说 仪表 亮 红色 机 油灯 车主 说 对 车主 说 滴滴 几声 就 恢复正常 请 参考 原先 的 提问 技师 说 我 到哪去 找 车主 说 车主 说 看到 了 吗 技师 说 是 领驭 吗 车主 说 是 车主 说 感觉 是 行驶 一段时间 后 报警 然后 是 走走停停 报警 次数 增多 技师 说 稍 等 技师 说 技师 说 技师 说 测量 一下 标准 机油 压力 如果 压力 低 需要 进行 相应 的 检查 维修 车主 说凉车 机油 压力 个 多 车主 说 热车 才 个 技师 说 热车 怠速 最低 车主 说 到 不了 技师 说 发动机 水温 多少 车主 说 水温 正常 车主 说 没有 测量 温度 技师 说 如果 水温 在度 的 时候 机油 压力 不到 说明 卸压 如果 水温 以上 不到 说明 散热 不好 车主 说好 的 车主 说 再 试试 车主 说 这 两种 情况 怎么 处理 技师 说 冷车 机油 粘度 大 压力 肯定 高 车主 说 这 两种 情况 怎么 解决 技师 说 如果 水 温度 机油 压力 灯亮 说明 机械 方面 有 故障 考虑 机油泵 以及 限压阀 以及 机油 喷嘴 如果 热车 机油 压力 灯亮 重点 考虑 机油 的 粘度 以及 机油 散热器 水箱 是否 堵塞 也 可以 往 机油 里 加注 抗磨剂,根据你的描述，如果发动机水温低，而机油压力低说明是机械方面的故障，可以考虑机油泵，吸油管。以及机油压力调节阀，如果水温高，机油压力低，说明机油散热不好。需要检查散热器以及水箱。
6,Q5007,吉利汽车,吉利GC7,汽车火花塞磁柱上有机油,技师 说 你 气门 室盖 垫 漏进去 的 吧 车主 说 要 怎么 修 呢 技师 说 把 气门 室盖 垫 换掉 就 可以 了 车主 说 需要 换 什么 配件 一般 需要 多少 钱 谢谢 技师 说 内外 垫 估计 块钱 就 修好 了 技师 说 更换 气门 室盖 垫 内外 垫片,更换内外气门室盖垫
7,Q5008,福特,翼搏,翼博正时皮带怎么安装,技师 说 这款 车 需要 曲轴 转 到 一缸 压缩 上止 点 凸轮轴 曲轴 都 有 定位 工具 定位 挂 皮带 就 可以 了 技师 说 技师 说 技师 说 技师 说 我 把 凸 轴 都 拆下来 了 现在 不知 咋 对 正时 都 是 按 工具 卡对 的 没 缸 压 不 着 车 技师 说 技师 说 技师 说 现在 在家 师父 方便 留一 不 我 微信 方便 加下 不 我 把 缸 头 都 拆下来 了 进气 卡有 二个 卡点 晕 了 技师 说 如果 要 付费 我 可以 支付 技师 说 为 一正时 皮带 头 搞 大 了 这款 车 第一次 修 技师 说 年 手动 翼 虎 走 正时 皮带 的 技师 说翼博 技师 说 不是 翼 虎 是 翼博 技师 说 技师 说 技师 说好 的 技师 说 凸轮轴 上 的 螺丝 拆 了 咋 对 回 技师 说 嗯 这个 我们 才 来 和 正殿 我 证实 对 好 了 按 那个 专业 工具 装 了 但是 发不着 没干 呀 最后 的 调 了 度 以后 再 去 装 一下 以后 还 能 顶 气门 我 以为 气门 顶坏 了 就 把 缸 头 拆下来 以后 凸轮轴 拆 下 拆下来 后 对 不了 啦 技师 说 技师 说好 技师 说 在 吗 技师 说 我 曲轴 锁止 螺丝 锁 的 不是 上止 高 曲轴 的 技师 说 师父 在 不 在 技师 说 抱歉 今天 我 在 忙 了 让 您 久等 了 有 吗 发上 来看 一下 技师 说 必须 是 一缸 压缩 上止 点 啊 车主 说 自己 找 的 上止 点 技师 说 您 对 的 凸轮轴 轮 呢 我 看 一下 您 不 发图片 我 怎么 和 您 说 呀 技师 说 只能 告诉您 按照 我 给 您 发 的 操作 就 可以 了 技师 说 如果 您 操作 已经 失误 了 气门 已经 顶 了 的话 需要 抬 缸盖 车主 说装 好 了 也 发动 了 怕 时间 不 对 技师 说 那 就行了 技师 说 怠速 加速 正常 就 没 问题 了,这款车需要曲轴转到一缸压缩上止点凸轮轴vvt轮 使用专用工具定位，曲轴也有工具定位，下面给您相关图片参考
8,Q5009,广汽传祺,传祺GS8,Gs8进档慢是因为什么,技师 说 您 的 这款 车手 自 一体 的 广汽传祺 属于 通病 可以 和 同款 车辆 比较 一下 发现异常 的话 需要 店 质保 技师 说 我 之前 开 就 没 这个 毛病 技师 说 多少 公里 了 技师 说 如果 是 新车 的话 建议您 到 店 保养 的 时候 顺便 让 师傅 帮 您 检查一下 有 异常 的话 尽早 质保,这个车本身换挡逻辑就不好，新车就有类似这样的情况，属于通病，如果您感觉到和以前差太多，新车最好去4s店保养的时候让修理师傅帮您检查一下，有问题及时质保
9,Q5010,斯柯达,明锐,2013款明锐车载凯立德导航收音机，没有声音，刚开始声音有时有，有时没有，现在彻底没声音了，其它一切都正常，问下大师，这是什么毛病。,技师 说 导航 能 开机 吗 车主 说 能 开 的 车主 说 就是 没 声音 车主 说 倒车 影像 也 可以 技师 说 那 需要 拆下来 导航 看 一下 后边 的 线插 有没有 松动 车主 说 我 早上 拆 了 接口 都 插 了 也 没用 技师 说 那 就是 导航 音频 输出 有 问题 车主 说 那 就是 收音机 里面 有 问题 了 是 吧 技师 说 是 的 车主 说 还有 就是 问 下 车子 档 起步 抖动 大是 什么 原因 呢 像 榔头 敲 一样 技师 说 发动机 爆震 燃烧 清洗 节气门 喷油嘴,如果导航线插没有问题，有可能导航输出音频有问题。
